train_loss,valid_loss,train_acc,valid_acc
1.6098467893600463,1.6098277238236756,0.2,0.2
0.394301323401928,0.5066251081077993,0.8766,0.8410526315789474
0.2301702784091234,0.38117011286271346,0.92,0.8736842105263158
0.16501394232846797,0.3292238010297052,0.9452,0.8984210526315789
0.12707348380926997,0.2968499918288293,0.9569,0.9152631578947369
0.10317983087077737,0.27681952596352505,0.9669,0.9231578947368421
0.09181472780229524,0.3262533440294738,0.9693,0.9210526315789473
0.07851738125029951,0.25161353401651904,0.9752,0.9331578947368421
0.07395674494630657,0.27904002780893017,0.9768,0.9263157894736842
0.05799255427570315,0.2789356580958897,0.9837,0.9289473684210526
0.04177066531346645,0.26748255780089,0.9876,0.9321052631578948
0.04505532891505864,0.29792624230872244,0.9889,0.9284210526315789
0.037041573447740665,0.3242766505108262,0.9879,0.9378947368421052
0.028376347711327254,0.28855223740996916,0.992,0.9373684210526316
0.03258158537721029,0.3151965760589213,0.9914,0.93
0.020771225674287415,0.2884239036364367,0.9943,0.9447368421052632
0.03517811428838113,0.4037585472955272,0.9872,0.9289473684210526
0.012772759942882477,0.3097627773736234,0.9969,0.9442105263157895
